medio,fecha,titulo,autor,url,resumen,tags
Perú21,2025-01-01 18:43:00,Expertos cuestionan que financiamiento público se use para pagar abogados de partidos políticos,,https://peru21.pe/politica/financiamiento-publico-se-usara-para-abogados-de-partidos-politicos/,,
Perú21,2025-01-01 11:16:00,Caso Andrea Vidal: Fiscalización citará a Eduardo Salhuana y Alejandro Soto,,https://peru21.pe/politica/andrea-vidal-fiscalizacion-citara-eduardo-salhuana-y-alejandro-soto/,,
Perú21,2025-01-01 10:37:00,Estas son las cortitas de hoy miércoles 1 de enero de 2025,,https://peru21.pe/politica/estas-son-las-cortitas-de-hoy-miercoles-1-de-enero-de-2025/,,
Perú21,2025-01-01 08:22:00,Gustavo Adrianzén asegura que este año habrá más empleo formal,,https://peru21.pe/politica/adrianzen-el-2025-habra-mas-empleo-formal-y-se-estima-medio-millon-de-nuevos-puestos/,,
Perú21,2024-12-31 22:01:00,Dina Boluarte pide a Fiscalía reprogramar declaratoria por omisión de funciones,,https://peru21.pe/politica/dina-boluarte-pide-fiscalia-reprogramar-declaratoria-por-omision-de-funciones/,,
Perú21,2024-12-31 22:00:00,"Escolta de Dina Boluarte (la 'Sombra'), testigo en caso de fuga de Cerrón, es enviada a embajada de Perú en España",,https://peru21.pe/politica/escolta-de-dina-boluarte-la-sombra-en-caso-de-fuga-de-cerron-es-enviada-embajada-de-peru-en-espana/,,
Perú21,2024-12-31 20:54:00,Dina Boluarte resalta estabilidad económica en extenso mensaje de Año Nuevo,,https://peru21.pe/politica/dina-boluarte-resalta-estabilidad-economica-en-mensaje-de-ano-nuevo/,,
Perú21,2024-12-31 08:06:00,Abogado del chofer del 'Cofre' : hay contradicciones entre versión de su cliente y Boluarte,,https://peru21.pe/politica/abogado-del-chofer-del-cofre-hay-contradicciones-entre-version-de-su-cliente-y-boluarte/,,
Perú21,2024-12-31 07:05:00,Estas son las cortitas de hoy martes 31 de diciembre de 2024,,https://peru21.pe/politica/estas-son-las-cortitas-de-hoy-martes-31-de-diciembre-de-2024/,,
Perú21,2024-12-31 07:00:00,Vera asistirá al Congreso por minimizar derrame en Talara,,https://peru21.pe/politica/vera-asistira-al-congreso-por-minimizar-derrame-en-talara-petroperu/,,
Perú21,2024-12-31 07:00:00,Polémica por viaje de Salhuana a China,,https://peru21.pe/politica/polemica-por-viaje-de-salhuana-china-presidente-del-congreso/,,
Perú21,2024-12-30 19:57:00,"Gerente de Petroperú, militante de APP, responderá en el Congreso por ecocidio en Talara",,https://peru21.pe/politica/gerente-de-petroperu-respondera-en-el-congreso-por-ecocidio-en-talara-app/,,
