medio,fecha,titulo,autor,url,resumen,tags
El Comercio,2025-10-08T20:18:06.151Z,Phillip Butters: Precandidato presidencial fue agredido tras brindar entrevista en Puno,Redacción EC,https://elcomercio.pe/politica/actualidad/phillip-butters-precandidato-presidencial-fue-agredido-tras-brindar-entrevista-en-puno-ultimas-noticia/,El precandidato de Avanza País tuvo que ser protegido por decenas de policías en Juliaca.,"Phillip Butters, Avanza País, Puno, Juliaca"
El Comercio,2025-09-24T18:05:54.857Z,Susana Villarán: Así se desarrolló el segundo día del juicio oral con los alegatos de fiscalía y procuraduría,Víctor Reyes Parra,https://elcomercio.pe/politica/justicia/susana-villaran-en-vivo-poder-judicial-inicia-juicio-contra-exalcaldesa-de-lima-por-aportes-de-campanas-y-presuntos-actos-de-corrupcion-odebrecht-oas-lavado-delitos-video-noticia/,"Fiscalía ratifica pedido de 29 años de prisión y remarca que Susana Villarán pactó con Odebrecht para entregarle los peajes en el proyecto Rutas de Lima, en vías que ya estaban construidas y en operación.","Susana Villarán, Poder Judicial, Alcaldía de Lima"
El Comercio,2025-09-24T18:05:41Z,Fiscal José Domingo Pérez ratifica pedido de 29 años de cárcel para Susana Villarán ,Redacción EC,https://elcomercio.pe/politica/justicia/juicio-susana-villaran-hoy-en-vivo-poder-judicial-inicia-enjuiciamiento-a-exalcaldesa-de-lima-por-presuntos-delitos-de-corrupcion-lbposting-noticia/,Próxima audiencia será el lunes 6 de octubre. ,"Susana Villarán, Poder Judicial, Ministerio Público"
El Comercio,2025-09-22T20:03:56.006Z,Tomás Gálvez: ¿quién es el nuevo fiscal de la Nación interino?,Redacción EC,https://elcomercio.pe/politica/actualidad/junta-de-fiscales-supremos-nuevo-fiscal-de-la-nacion-interino-zoraida-avalos-tomas-aladino-galvez-pablo-sanchez-juan-carlos-villena-patricia-benavides-delia-espinoza-jnj-noticia/,Junta de Fiscales Supremos tomó esa decisión. Esto luego que Pablo Sánchez decidió limitar su interinato a un breve período de transición.,"Ministerio Público, Fiscalía de la Nación, Delia Espinoza, Zoraida Ávalos, Patricia Benavides, Tomas Gálvez, Juan Calor Villena"
El Comercio,2025-09-05T23:48:21.345Z,"Betssy Chávez: En audiencia, fiscalía desiste de pedido de prisión preventiva por caso golpe de Estado",Redacción EC,https://elcomercio.pe/politica/betssy-chavez-poder-judicial-realizara-este-viernes-audiencia-de-prolongacion-de-prision-preventiva-ultimas-noticia/,"El fiscal supremo Edward Casaverde sostiene que existe caducidad en el plazo para pedir la “prolongación” de la prisión preventiva y sobre todo, contra una persona que ya goza de libertad.","Betssy Chávez, Poder Judicial, prisión preventiva"
El Comercio,2025-09-03T22:33:48Z,Expresidente Alejandro Toledo fue condenado a 13 años y cuatro meses de prisión por el Caso Ecoteva ,Redacción EC,https://elcomercio.pe/politica/justicia/alejandro-toledo-hoy-pj-dicta-sentencia-contra-expresidente-peruano-por-caso-ecoteva-eliane-karp-lbposting-noticia/,Por el delito de lavado de activos agravado. Esta es la segunda condena que recibe el exmandatario. La primera fue a 20 años y seis meses de cárcel por el caso Odebrecht. ,"Ecoteva, Caso Ecoteva, Alejandro Toledo, Eliane Karp, Poder Judicial"
El Comercio,2025-09-03T22:25:07.665Z,Alejandro Toledo suma su segunda condena: PJ lo sentencia a 13 años y 4 meses de cárcel por Caso Ecoteva ,Karem Barboza Quiroz,https://elcomercio.pe/politica/justicia/alejandro-toledo-en-vivo-poder-judicial-condena-caso-ecoteva-eliane-karp-fiscalia-segunda-sentencia-minuto-a-minuto-noticia/,Fiscalía había pedido 16 años y 8 meses de cárcel por lavado de activos. Años de prisión por Caso Ecoteva no se acumulan a los 20 años que ya purga por sobornos de Odebrecht.,"Alejandro Toledo, Caso Ecoteva, Eliane Karp"
El Comercio,2025-09-03T17:11:54.376Z,Betssy Chávez: TC ordena su liberación tras declarar fundado recurso contra la prolongación de su prisión preventiva,Redacción EC,https://elcomercio.pe/politica/actualidad/betssy-chavez-tc-ordena-su-liberacion-tras-declarar-fundado-recurso-contra-la-prolongacion-de-su-prision-preventiva-ultimas-noticia/,El tribunal consideró que la prolongación se emitió fuera del plazo de ley en diciembre del 2024.,"Betssy Chávez, INPE, Poder Judicial, TC, Tribunal Constitucional"
El Comercio,2025-08-15T18:45:46Z,Dina Boluarte en Santa Rosa de Loreto: “Nuestra soberanía no está en discusión” ,Redacción EC,https://elcomercio.pe/peru/loreto/dina-boluarte-visita-santa-rosa-en-vivo-presidenta-llega-a-distrito-de-loreto-en-medio-del-impasse-diplomatico-con-colombia-gustavo-petro-lbposting-noticia/,"La jefa del Estado visitó el distrito de Santa Rosa de Loreto, en la isla Chinería, para liderar una acción multisectorial del Gobierno, en medio del impasse diplomático con Colombia, iniciado por el presidente de ese país, Gustavo Petro. ","Dina Boluarte, Santa Rosa, Isla Chinería, Loreto, Gustavo Petro, Colombia, Perú"
El Comercio,2025-08-14T01:05:04.282Z,PJ dicta cinco meses de prisión preventiva contra Martín Vizcarra: expresidente pasa a custodia del INPE,Víctor Reyes Parra,https://elcomercio.pe/politica/justicia/martin-vizcarra-en-vivo-poder-judicial-prision-preventiva-expresidente-por-caso-de-presuntas-coimas-lomas-de-ilo-hospital-de-moquegua-obrainsa-iccgsa-lava-jato-noticia/,"Al dar lectura a su fallo, el magistrado advierte que existe peligro procesal y de fuga, así como un comportamiento cuestionable de Vizcarra. Además, enfatiza que no tiene arraigo laboral, ni familiar.","Martín Vizcarra, Lomas de Ilo, Hospital de Moquegua, Equipo especial Lava Jato, Corte Superior Nacional, Obrainsa, ICCGSA, Lava Jato"
El Comercio,2025-08-13T21:55:27Z,Poder Judicial dicta cinco meses de prisión preventiva contra expresidente Martín Vizcarra ,Redacción EC,https://elcomercio.pe/politica/justicia/martin-vizcarra-hoy-en-vivo-poder-judicial-evalua-pedido-de-prision-preventiva-contra-expresidente-por-presuntas-coimas-obrainsa-hospital-de-moquegua-ilo-lbposting-noticia/,"El juez Jorge Chávez Tamariz, de la Corte Superior Nacional, declaró fundada la petición de prisión preventiva de la fiscalía contra el exmandatario por el presunto delito de cohecho pasivo propio. ","Martín Vizcarra, Germán Juárez, Jorge Chávez Tamariz, Poder Judicial, Obrainsa, Ministerio Público"
El Comercio,2025-08-11T14:52:30.982Z,Colocan bandera de Colombia en el distrito de Santa Rosa en medio del impasse iniciado por Gustavo Petro ,Redacción EC,https://elcomercio.pe/politica/actualidad/gustavo-petro-colocan-bandera-de-colombia-en-el-distrito-de-santa-rosa-en-medio-del-impasse-por-soberania-de-isla-santa-rosa-loreto-isla-santa-rosa-ultimas-noticia/,El exalcalde de Santa Rosa Iván Yovera informó que la bandera habría sido colocada por tres ciudadanos colombianos que llegaron a la zona a bordo de un deslizador.,"Gustavo Petro, Colombia, Santa Rosa, Loreto, Isla Santa Rosa"
El Comercio,2025-08-10T12:00:00Z,Gustavo Petro: aeronave colombiana sobrevoló espacio aéreo peruano en la isla Santa Rosa ,Redacción EC,https://elcomercio.pe/politica/actualidad/gustavo-petro-en-vivo-colombia-acusa-a-peru-de-ocupar-territorio-de-la-isla-santa-rosa-en-la-frontera-de-leticia-ultimas-noticias-rio-amazonas-dina-boluarte-cancilleria-conflicto-lbposting-noticia/,"En los últimos días, el mandatario colombiano Gustavo Petro señaló que el Gobierno peruano “ha copado un territorio que es de Colombia” violando el Protocolo de Rio de Janeiro.",
El Comercio,2025-08-08T17:20:28Z,Martín Vizcarra: audiencia de prisión preventiva suspendida hasta miércoles 13 de agosto,Redacción EC,https://elcomercio.pe/politica/justicia/audiencia-martin-vizcarra-hoy-en-vivo-poder-judicial-pide-6-meses-de-prision-preventiva-septimo-juzgado-de-investigacion-preparatoria-nacional-ministerio-publico-lbposting-noticia/,"El juez suspende la audiencia de requerimiento de prisión preventiva contra Vizcarra, a fin de que las partes revisen sendos elementos de convicción presentados. La audiencia continuará el 13 de agosto ","Martín Vizcarra, Poder Judicial, Ministerio Público, prisión preventiva"
El Comercio,2025-08-08T02:14:21.724Z,Gustavo Petro: “Colombia no reconoce la soberanía de Perú en la isla Santa Rosa”,Redacción EC,https://elcomercio.pe/politica/actualidad/gustavo-petro-acusa-a-peru-de-copar-territorio-de-colombia-en-vivo-ultimas-noticias-del-conflicto-diplomatico-rio-amazonas-dina-boluarte-lbposting-noticia/,"Según el mandatario colombiano, el Gobierno peruano “ha copado un territorio que es de Colombia” violando el Protocolo de Rio de Janeiro.",
El Comercio,2025-08-07T19:45:58.841Z,Gustavo Petro dice que Colombia “no reconoce la soberanía del Perú” en isla Santa Rosa y que tiene “autoridades de facto”,Redacción EC,https://elcomercio.pe/politica/actualidad/gustavo-petro-dice-que-colombia-no-reconoce-la-soberania-del-peru-en-isla-santa-rosa-y-que-tiene-autoridades-de-facto-ultimas-noticia/,El presidente de Colombia acusó al Perú de violar el Protocolo de Río de Janeiro pero aceptó participar en la comisión mixta limítrofe de setiembre.,"Gustavo Petro, Loreto, Isla Santa Rosa, Colombia"
El Comercio,2025-07-29T03:51:03.793Z,Dina Boluarte dio mensaje a la Nación: el análisis y todo lo que dejó el discurso por Fiestas Patrias,Redacción EC,https://elcomercio.pe/politica/gobierno/dina-boluarte-en-vivo-mensaje-a-la-nacion-hoy-online-en-directo-por-28-de-julio-desde-el-congreso-analisis-del-ultimo-discurso-de-la-presidenta-elecciones-2026-aumento-de-sueldo-fiestas-patrias-2025-lbposting-noticia/,"La presidenta brindó su mensaje a la Nación por 28 de julio desde el Congreso. Repasa en esta nota los detalles del discurso, analizado por especialistas de este Diario.","Dina Boluarte, Mensaje a la Nación, 28 de julio, Fiestas Patrias, Congreso"
El Comercio,2025-07-29T02:41:29Z,Mensaje a la Nación de Dina Boluarte: repasa lo que dejó el discurso por 28 de julio en el Congreso,Víctor Reyes Parra,https://elcomercio.pe/politica/gobierno/mensaje-a-la-nacion-en-vivo-hoy-dina-boluarte-en-directo-ver-online-ultimo-discurso-por-28-de-julio-en-el-congreso-de-la-presidenta-aumento-de-sueldo-principales-anuncios-resumen-misa-y-te-deum-lbposting-noticia/,"La mandataria dio su mensaje a la Nación, último de su gestión presidencial, al que tituló “Estabilidad, progreso y futuro para el Perú”. El discurso se extendió por más de 4 horas.","Dina Boluarte, Mensaje a la Nación, 28 de julio, Fiestas Patrias, Congreso, Misa Te Deum"
El Comercio,2025-07-28T21:03:20.686Z,"Dina Boluarte: minuto a minuto, así fue su último mensaje a la Nación ante el Congreso",Víctor Reyes Parra,https://elcomercio.pe/politica/gobierno/dina-boluarte-vivo-mensaje-a-la-nacion-discurso-ante-el-congreso-28-de-julio-presidenta-de-la-republica-fiestas-patrias-anuncios-compromisos-incidentes-noticia/,"
“He sido blanco constante de cuestionamientos, críticas, amenazas de vacancia motivadas no necesariamente por hechos objetivos, sino por otro tipo de intereses”, afirma.  “Mi gobierno no tuvo paz, ni tregua. Desde un inicio enfrentamos una ofensiva violenta”, agrega durante su discurso, marcado por incidentes.","Dina Boluarte, Mensaje a la Nación, Fiestas Patrias, Congreso de la República"
El Comercio,2025-07-28T17:53:29.091Z,Incidentes marcan inicio del mensaje a la Nación de Dina Boluarte en el Congreso,Redacción EC,https://elcomercio.pe/politica/fiestas-patrias-2025-incidentes-marcan-inicio-del-mensaje-a-la-nacion-de-la-presidenta-dina-boluarte-en-el-congreso-noticia/,Boluarte criticó la narrativa que victimiza a golpistas y señaló ataques a la imagen del país.,"Fiestas Patrias 2025, Dina Boluarte, Congreso de la República, Fiestas Patrias del Perú"
El Comercio,2025-07-26T18:16:03.197Z,José Jerí es elegido nuevo presidente del Congreso 2025-2026,Thalía Cadenas,https://elcomercio.pe/politica/nuevo-presidente-del-congreso-en-vivo-jose-jeri-votacion-sesion-detalles-fernando-rospigliosi-waldemar-cerron-ilich-lopez-jose-cueto-noticia/,"Con 79 votos, se impuso a la lista de José Cueto. Acompañan a Jerí, Fernando Rospigliosi (Fuerza Popular), Waldemar Cerrón (Perú Libre) e Ilich López (Acción Popular). ",Congreso
El Comercio,2025-07-24T19:33:14.211Z,"Metro de Lima: PJ condena a 21 años y 8 meses de prisión a ex viceministro Jorge Cuba, quien fugó del país antes de la lectura de sentencia",Víctor Reyes Parra,https://elcomercio.pe/politica/justicia/odebrecht-en-vivo-poder-judicial-dicta-sentencia-por-el-caso-metro-de-lima-jorge-cuba-35-anos-lava-jato-noticia/,Fiscalía había pedido 35 años de prisión para ex viceministro de Comunicaciones del segundo gobierno aprista. Se trata de uno de los principales acusados de esta trama de corrupción del caso Odebrecht.,"Lava Jato, Odebrecht, Equipo especial Lava Jato, Caso Metro de Lima, Metro de Lima, Ecoteva, Caso Ecoteva, Alejandro Toledo, Eliane Karp"
El Comercio,2025-07-04T12:41:51.387Z,"José Antonio García Belaunde, excanciller peruano, falleció a los 77 años",Redacción EC,https://elcomercio.pe/politica/actualidad/jose-antonio-garcia-belaunde-excanciller-fallecio-a-los-77-anos-ultimas-noticia/,Fue ministro de Relaciones Exteriores durante el segundo gobierno de Alan García.,"José Antonio García Belaunde, Cancillería"
