medio,fecha,titulo,autor,url,resumen,tags,texto_completo
El Comercio,2026-07-16T20:56:14.309Z,PNP retira a policías encargados de seguridad de presidente José María Balcázar tras ser captados en discoteca de Chiclayo,Redacción EC,https://elcomercio.pe/politica/gobierno/pnp-retira-a-policias-encargados-de-seguridad-de-presidente-jose-maria-balcazar-tras-ser-captados-en-discoteca-de-chiclayo-ultimas-noticia/,"El comandante general de la Policía, Óscar Arriola, informó que se inició una investigación administrativa disciplinaria para determinar responsabilidades.","jose maria balcazar, oscar arriola, escolta presidencial, PNP","El comandante general de la Policía Nacional, Óscar Arriola , informó que los agentes de Seguridad del Estado captados en una discoteca de Chiclayo mientras integraban la comitiva encargada de la protección del presidente José María Balcázar fueron retirados de sus funciones e vienen siendo investigados por la institución. Como se recuerda, un reportaje periodístico difundió imágenes de seis efectivos policiales en un centro nocturno durante una comisión de servicio en Lambayeque y Cajamarca, donde acompañaban al jefe de Estado en una gira oficial. Según el informe periodístico, los agentes habrían consumido bebidas alcohólicas mientras se encontraban asignados a labores de seguridad presidencial. Arriola señaló que la institución actuó de manera inmediata tras conocerse el caso. “Ya se tomaron inmediatamente las medidas. Han sido separados de la seguridad personal del presidente Balcázar, no son más seguridad personal y se ha iniciado una investigación administrativa disciplinaria por un equipo especializado con carácter sumario para resolver” , dijo Arriola a los medios. El jefe de la Policía indicó además que la investigación permitirá establecer si los efectivos incumplieron los protocolos establecidos para este tipo de comisiones. “Hay que revisar bien los protocolos, los planes de operaciones de este personal que viajó con el presidente para brindar seguridad” . Arriola sostuvo que el procedimiento disciplinario determinará las responsabilidades individuales de los policías involucrados y las eventuales sanciones que correspondan conforme al régimen disciplinario de la institución."
El Comercio,2026-07-15T18:16:15Z,Keiko Fujimori recibió sus credenciales como presidenta electa del Perú,Redacción EC,https://elcomercio.pe/politica/gobierno/keiko-fujimori-recibe-credenciales-como-presidenta-electa-del-peru-en-el-gran-teatro-nacional-jne-lbposting-noticia/,"En la ceremonia, que se realizó en el Gran Teatro Nacional, en el distrito de San Borja, el JNE también entregó las credenciales a Luis Galarreta y Miguel Torres como vicepresidentes electos. ","Keiko Fujimori, JNE, Elecciones 2026",
El Comercio,2026-07-03T18:24:37Z,JNE proclama a Keiko Fujimori como presidenta electa del Perú para el periodo 2026-2031 ,Redacción EC,https://elcomercio.pe/politica/elecciones/jurado-nacional-de-elecciones-proclama-hoy-a-keiko-fujimori-como-presidenta-electa-tras-segunda-vuelta-lbposting-noticia/,"El acto oficial, que fue presidido por el titular del JNE, Roberto Burneo, se realizó en la sede del ente electoral, en Jesús María.","Keiko Fujimori, Jurado Nacional de Elecciones, Elecciones 2026, Roberto Burneo",
El Comercio,2026-07-02T21:16:48.648Z,Keiko Fujimori: ¿Cuándo se proclamarán los resultados oficiales de la segunda vuelta según el JNE?,Redacción EC,https://elcomercio.pe/politica/elecciones/keiko-fujimori-cuando-sera-la-proclamacion-oficial-del-jne-sobre-la-segunda-vuelta-ultimas-noticia/,"El vocero del JNE, Jorge Valdivia, indicó que aún se mantiene como fecha prevista este viernes 03 de julio. ","keiko fujimori, jne, segunda vuelta, elecciones 2026, proclamación de resultados","Tras oficializarse por parte de la ONPE que Keiko Fujimori (Fuerza Popular) es la virtual presidenta de la República, el vocero del Jurado Nacional de Elecciones (JNE) , Jorge Valdivia, señaló que aún se mantiene como fecha prevista para la proclamación de resultados de la segunda vuelta este viernes 3 de julio. Ya esa fecha había sido anunciada hace unos días por el propio presidente del JNE, Roberto Burneo, quien incluso adelantó que la entrega de credenciales a la virtual presidenta el 15 de julio. En conferencia de prensa, Valdivia indicó que “si se puede adelantar (la fecha), se hará. “Todavía decimos que aproximadamente el 3 de julio es cuando se va a llevar a cabo el acta general de proclamación de resultados por el Pleno del Jurado, decimos este aproximado porque si se puede adelantar, se va a adelantar, pero todavía continuamos con esa fecha programada prevista para el 3 de julio”, indicó Valdivia. Según las cifras de la Oficina Nacional de Procesos Electorales (ONPE) -al 100% de actas contabilizadas- Keiko Fujimori ganó el balotaje al lograr el 50.135% (9′223,396 votos). Mientras que Roberto Sánchez, ahora excandidatos de Juntos por el Perú, alcanzó 49.865%, con 9′173,755 votos. Keiko Fujimori se pronunció tras conocerse los resultados. “La ONPE ha llegado al 100 % de las actas escrutadas. Ya han sido resueltas todas las observaciones por parte de los JEE. Esperamos la proclamación del JNE con mucha humildad, prudencia y responsabilidad” , escribió."
El Comercio,2026-06-30T16:20:59Z,"Cuál es la cantidad de votos que separa a Keiko Fujimori y Roberto Sánchez, según resultados oficiales de la ONPE",Redacción EC,https://elcomercio.pe/politica/elecciones/cual-es-la-cantidad-de-votos-que-separa-a-keiko-fujimori-y-roberto-sanchez-segun-ultimos-resultados-onpe-de-la-segunda-vuelta-elecciones-peru-2026-noticia/,Sigue aquí los resultados oficiales ONPE con la diferencia de votos entre Keiko Fujimori (Fuerza Popular) y Roberto Sánchez (Juntos por el Perú),"Elecciones 2026, segunda vuelta, ONPE, Resultados ONPE, Keiko Fujimori, Roberto Sánchez","La segunda vuelta de las Elecciones Generales Perú 2026 , entre los candidatos Keiko Fujimori ( Fuerza Popular ) y Roberto Sánchez ( Juntos por el Perú ), se realizó el domingo 7 de junio a nivel nacional y en algunos países de diferentes continentes. Las autoridades del Jurado Nacional de Elecciones ( JNE ) y la Oficina Nacional de Procesos Electorales ( ONPE ) informaron en la fecha que el proceso se realizó con normalidad, y que las incidencias que se registraron durante la jornada fueron subsanadas y ya son investigadas por las autoridades del Ministerio Público. Tras el cierre de las mesas de sufragio a las 5 p.m. del domingo 7, y luego de conocerse los primeros resultados no oficiales a boca de urna, los peruanos centraron sus expectativas en conocer los resultados oficiales de la ONPE . Para ello, el ente electoral habilitó una página oficial para que la ciudadanía consulte en tiempo real los resultados del balotaje. Este 29/06/2026, en la actualización de las 14:42 al 100% de actas contabilizadas, Keiko Fujimori supera a Roberto Sánchez por 49,641 votos. Fuerza Popular registra 9,223,866 votos válidos, mientras que Juntos por el Perú alcanza 9,174,192 votos válidos. Del total de actas, el 100% ha sido contabilizado y el 100% procesado por la ONPE , mientras que el 0% restante se encuentra pendiente. La diferencia entre los votos obtenidos por ambos aspirantes es corta y se espera que la ONPE dé a conocer los resultados finales al 100% cuando la totalidad de actas haya sido validada por las autoridades electorales. Pasadas las 11 a.m. del lunes 8 de junio se dieron a conocer los primeros resultados del extranjero, por lo que las cifras oficiales podrían variar en las próximas horas. De acuerdo con la normativa electoral vigente, el ganador de la segunda vuelta (es decir, quien resulte presidente electo) será el candidato que obtenga la mayor cantidad de votos válidos, sin importar el número de votos de diferencia. Grecia Rentería, vocera del JNE , indicó en conferencia de prensa que la proclamación de los resultados de la segunda vuelta presidencial se realizará a mediados de julio, una vez que concluyan los procesos de resolución de actas observadas y las eventuales audiencias de recuento de votos. La funcionaria explicó que las actas observadas serán trasladadas inicialmente desde las oficinas descentralizadas de procesos electorales ( ODPE ) hacia los jurados electorales especiales ( JEE ) de cada jurisdicción, donde se realizará el cotejo correspondiente. Si las observaciones no pueden ser resueltas en esta etapa, se dispondrá el recuento de votos mediante audiencias públicas. ""A mediados de julio es la proclamación de la segunda vuelta "", expresó."
El Comercio,2026-06-29T21:11:13.932Z,ONPE al 100%: Keiko Fujimori es virtual presidenta del Perú tras alcanzar el 50.135% de votos en segunda vuelta ,Redacción EC,https://elcomercio.pe/politica/elecciones/resultados-onpe-en-vivo-keiko-fujimori-mantiene-ventaja-sobre-roberto-sanchez-y-se-acerca-a-la-presidencia-del-peru-lbposting-noticia/,El conteo oficial de la ONPE llegó a su fin y ahora se espera la proclamación oficial por parte del Jurado Nacional de Elecciones. ,"Resultados ONPE, Segunda vuelta 2026, Keiko Fujimori, Roberto Sánchez, ONPE, sorteo especial",
El Comercio,2026-06-29T20:12:53Z,Elecciones Perú 2026: Resultados ONPE al 100% de la segunda vuelta de Piura y conteo oficial de votos en vivo,Redacción EC,https://elcomercio.pe/politica/elecciones/resultados-segunda-vuelta-elecciones-peru-2026-conteo-oficial-onpe-en-piura-y-flash-electoral-en-vivo-hoy-7-de-junio-keiko-fujimori-roberto-sanchez-noticia/,Conoce en esta nota los resultados ONPE al 100% de los comicios generales del 7 de junio,"Elecciones 2026, segunda vuelta, ONPE, Piura, Keiko Fujimori, Roberto Sánchez","Más de 27 millones de peruanos fueron convocados para sufragar este domingo 7 de junio en las Elecciones Generales Perú 2026 , en las que se elegirá al nuevo presidente entre Keiko Fujimori , candidata de Fuerza Popular , y Roberto Sánchez , candidato de Juntos por el Perú . El proceso de votación en el marco de las Elecciones Perú 2026 inició a las 7 a.m. y culminó a las 5 p.m., hora en la que se cerraron las mesas de sufragio. En esta nota podrás revisar los resultados oficiales ONPE de las elecciones en Piura según el conteo de la Oficina Nacional de Procesos Electorales ( ONPE ). La Oficina Nacional de Procesos Electorales ( ONPE ) publicó los resultados oficiales de la segunda vuelta presidencial 2026 a nivel nacional. Con el 100% de actas contabilizadas a las 14:42 del 29/06/2026, Keiko Fujimori obtiene el 57.02% de votos válidos, mientras que Roberto Sánchez alcanza el 42.98% en Piura . Además se han contabilizado 0.81% de votos en blanco y 7.11% de votos viciados sobre un total de 1,124,678 votos emitidos. La segunda vuelta presidencial enfrenta a Keiko Fujimori y Roberto Sánchez , quienes lograron avanzar al balotaje tras imponerse en una primera vuelta marcada por la fragmentación política y la dispersión del voto. En total, 35 candidatos participaron en los comicios realizados el pasado 12 de abril, en una de las elecciones más atomizadas de las últimas décadas en el Perú. Keiko Fujimori , candidata de Fuerza Popular , obtuvo el 17,192% de los votos válidos en la primera vuelta, mientras que Roberto Sánchez , de Juntos por el Perú , alcanzó el 12,039%, superando por estrecho margen a Rafael López Aliaga en la disputa por el segundo lugar. La jornada electoral también estuvo marcada por altos niveles de ausentismo —más de siete millones de peruanos no acudieron a votar pese a que el sufragio es obligatorio—, así como por cuestionamientos y denuncias de irregularidades contra la ONPE , organismo encargado de la organización y el conteo oficial de votos. ¿Cuál es la multa por no votar? Esta penalidad no es igual para todos, debido a que depende de la clasificación socioeconómica del distrito donde el ciudadano omiso al sufragio está registrado en su Documento Nacional de Identidad (DNI). La multa se calcula en función del monto de la UIT 2026, que es de S/5.500. Distritos no pobres: 2% de la UIT, lo que equivale a S/110. Distritos pobres: 1% de la UIT, lo que equivale a S/55. Distritos en pobreza extrema: 0.5% de la UIT, lo que equivale a S/27.50. ¿Debo pagar multa si no cumplo con mi función de miembro de mesa? Sí, y en este caso la penalidad equivale al 5% de una UIT, es decir, S/275."
El Comercio,2026-06-29T19:52:48Z,Elecciones Perú 2026: Resultados ONPE al 100% de la segunda vuelta entre Keiko Fujimori y Roberto Sánchez en vivo y conteo oficial de votos,Redacción EC,https://elcomercio.pe/politica/elecciones/resultados-segunda-vuelta-elecciones-peru-2026-en-vivo-conteo-onpe-flash-electoral-y-quien-gana-entre-keiko-fujimori-y-roberto-sanchez-hoy-7-de-junio-noticia/,Conoce en esta nota los resultados ONPE al 100% de los comicios generales del 7 de junio en el Perú y el Mundo,"Elecciones 2026, segunda vuelta, ONPE, Keiko Fujimori, Roberto Sánchez","Más de 27 millones de peruanos fueron convocados para sufragar este domingo 7 de junio en las Elecciones Generales Perú 2026 , en las que se elegirá al nuevo presidente entre Keiko Fujimori , candidata de Fuerza Popular , y Roberto Sánchez , candidato de Juntos por el Perú . El proceso de votación en el marco de las Elecciones Perú 2026 inició a las 7 a.m. y culminó a las 5 p.m., hora en la que se cerraron las mesas de sufragio. En esta nota podrás revisar los resultados oficiales ONPE de las elecciones Perú 2026 según el conteo de la Oficina Nacional de Procesos Electorales ( ONPE ). La Oficina Nacional de Procesos Electorales ( ONPE ) publicó los resultados oficiales de la segunda vuelta presidencial 2026 a nivel nacional. Con el 100% de actas contabilizadas a las 14:42 del 29/06/2026, Keiko Fujimori obtiene el 50.14% de votos válidos, mientras que Roberto Sánchez alcanza el 49.87%. Además se han contabilizado 0.6% de votos en blanco y 5.93% de votos viciados sobre un total de 19,683,383 votos emitidos. La segunda vuelta presidencial enfrenta a Keiko Fujimori y Roberto Sánchez , quienes lograron avanzar al balotaje tras imponerse en una primera vuelta marcada por la fragmentación política y la dispersión del voto. En total, 35 candidatos participaron en los comicios realizados el pasado 12 de abril, en una de las elecciones más atomizadas de las últimas décadas en el Perú. Keiko Fujimori , candidata de Fuerza Popular , obtuvo el 17,192% de los votos válidos en la primera vuelta, mientras que Roberto Sánchez , de Juntos por el Perú , alcanzó el 12,039%, superando por estrecho margen a Rafael López Aliaga en la disputa por el segundo lugar. La jornada electoral también estuvo marcada por altos niveles de ausentismo —más de siete millones de peruanos no acudieron a votar pese a que el sufragio es obligatorio—, así como por cuestionamientos y denuncias de irregularidades contra la ONPE , organismo encargado de la organización y el conteo oficial de votos. ¿Cuál es la multa por no votar? Esta penalidad no es igual para todos, debido a que depende de la clasificación socioeconómica del distrito donde el ciudadano omiso al sufragio está registrado en su Documento Nacional de Identidad (DNI). La multa se calcula en función del monto de la UIT 2026, que es de S/5.500. Distritos no pobres: 2% de la UIT, lo que equivale a S/110. Distritos pobres: 1% de la UIT, lo que equivale a S/55. Distritos en pobreza extrema: 0.5% de la UIT, lo que equivale a S/27.50. ¿Debo pagar multa si no cumplo con mi función de miembro de mesa? Sí, y en este caso la penalidad equivale al 5% de una UIT, es decir, S/275."
El Comercio,2026-06-29T19:51:38.389Z,ONPE al 100% de actas contabilizadas: Keiko Fujimori logra 50.135% de votos y es virtual presidenta del Perú ,Redacción EC,https://elcomercio.pe/politica/elecciones/resultados-onpe-al-100-keiko-fujimori-es-la-virtual-presidenta-del-peru-al-registrar-50135-de-votos-en-segunda-vuelta-con-roberto-sanchez-noticia/,"La candidata de Fuerza Popular logró 9’223,396 votos válidos, mientras que su contendor de Juntos por el Perú, Roberto Sánchez, alcanzó 9′173,755 votos válidos (49.865%). ","elecciones 2026, segunda vuelta presidencial, ONPE, Keiko Fujimori, Roberto Sánchez, segunda vuelta electoral","La Oficina Nacional de Procesos Electorales (ONPE) dio a conocer los resultados al 100% de actas contabilizadas de la segunda vuelta presidencial de las Elecciones Generales Perú 2026. Las cifras confirman que Keiko Fujimori (Fuerza Popular) es la virtual presidenta del Perú con el 50.135% de votos válidos. En tanto Roberto Sánchez (Juntos por el Perú) alcanzó el 49.865% (9’173,755 votos) lo que sumó un total de 92.766 de actas a nivel nacional y provenientes del extranjero. De acuerdo a lo publicado por el ente electoral, y luego de la resolución de las actas observadas que fueron derivadas a los Jurados Electorales Especiales (JEE), los resultados definitivos del balotaje fueron los siguientes: Keiko Fujimori : 50.135% (9’223,396 votos válidos) Roberto Sánchez : 49.865% (9′173,755 votos válidos) El presidente del Jurado Nacional de Elecciones, Roberto Burneo, anunció que el 15 de julio será la ceremonia de entrega de las credenciales a la fórmula presidencial ganadora de la segunda vuelta. “Nosotros proclamamos, al igual que hemos hecho con senadores y diputados, los resultados que van a ser el 3 de julio a más tardar, y luego, hacemos una ceremonia oficial de entrega de credenciales. Esta está prevista para el 15 de julio al mediodía también, en el Teatro Nacional”, precisó. El magistrado aseguró que ya están en proceso de organización de esta ceremonia protocolar y aseveró que será un paso importante porque se trata de un nuevo mandatario y una nueva plancha presidencial para el próximo periodo constitucional, que Burneo “espera que sea íntegro”."
El Comercio,2026-06-29T18:17:56Z,Elecciones Perú 2026: Resultados ONPE al 100% de la segunda vuelta de Ucayali y conteo oficial de votos en vivo,Redacción EC,https://elcomercio.pe/politica/elecciones/resultados-segunda-vuelta-elecciones-peru-2026-conteo-oficial-onpe-en-ucayali-y-flash-electoral-en-vivo-hoy-7-de-junio-keiko-fujimori-roberto-sanchez-noticia/,Conoce en esta nota los resultados ONPE al 100% de los comicios generales del 7 de junio,"Elecciones 2026, segunda vuelta, ONPE, Ucayali, Keiko Fujimori, Roberto Sánchez","Más de 27 millones de peruanos fueron convocados para sufragar este domingo 7 de junio en las Elecciones Generales Perú 2026 , en las que se elegirá al nuevo presidente entre Keiko Fujimori , candidata de Fuerza Popular , y Roberto Sánchez , candidato de Juntos por el Perú . El proceso de votación en el marco de las Elecciones Perú 2026 inició a las 7 a.m. y culminó a las 5 p.m., hora en la que se cerraron las mesas de sufragio. En esta nota podrás revisar los resultados oficiales ONPE de las elecciones en Ucayali según el conteo de la Oficina Nacional de Procesos Electorales ( ONPE ). La Oficina Nacional de Procesos Electorales ( ONPE ) publicó los resultados oficiales de la segunda vuelta presidencial 2026 a nivel nacional. Con el 100% de actas contabilizadas a las 12:26 del 29/06/2026, Keiko Fujimori obtiene el 52.56% de votos válidos, mientras que Roberto Sánchez alcanza el 47.44% en Ucayali . Además se han contabilizado 0.76% de votos en blanco y 5.66% de votos viciados sobre un total de 290,992 votos emitidos. La segunda vuelta presidencial enfrenta a Keiko Fujimori y Roberto Sánchez , quienes lograron avanzar al balotaje tras imponerse en una primera vuelta marcada por la fragmentación política y la dispersión del voto. En total, 35 candidatos participaron en los comicios realizados el pasado 12 de abril, en una de las elecciones más atomizadas de las últimas décadas en el Perú. Keiko Fujimori , candidata de Fuerza Popular , obtuvo el 17,192% de los votos válidos en la primera vuelta, mientras que Roberto Sánchez , de Juntos por el Perú , alcanzó el 12,039%, superando por estrecho margen a Rafael López Aliaga en la disputa por el segundo lugar. La jornada electoral también estuvo marcada por altos niveles de ausentismo —más de siete millones de peruanos no acudieron a votar pese a que el sufragio es obligatorio—, así como por cuestionamientos y denuncias de irregularidades contra la ONPE , organismo encargado de la organización y el conteo oficial de votos. ¿Cuál es la multa por no votar? Esta penalidad no es igual para todos, debido a que depende de la clasificación socioeconómica del distrito donde el ciudadano omiso al sufragio está registrado en su Documento Nacional de Identidad (DNI). La multa se calcula en función del monto de la UIT 2026, que es de S/5.500. Distritos no pobres: 2% de la UIT, lo que equivale a S/110. Distritos pobres: 1% de la UIT, lo que equivale a S/55. Distritos en pobreza extrema: 0.5% de la UIT, lo que equivale a S/27.50. ¿Debo pagar multa si no cumplo con mi función de miembro de mesa? Sí, y en este caso la penalidad equivale al 5% de una UIT, es decir, S/275."
